File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/164.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Auto 2
Injection Number	27
Position	3
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:00:30 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000530
Time Max. (min)	8.022197
Data Points	9627
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.471615
Signal Max.	65,140.120443
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.453864	0.05	-3.444792
0.454697	0.05	-3.444661
0.455530	0.05	-3.441667
0.456364	0.05	-3.443099
0.457197	0.05	-3.444271
0.458030	0.05	-3.446094
0.458864	0.05	-3.448177
0.459697	0.05	-3.451302
0.460530	0.05	-3.451172
0.461364	0.05	-3.453776
0.462197	0.05	-3.453125
0.463030	0.05	-3.458724
0.463864	0.05	-3.454557
0.464697	0.05	-3.451172
0.465530	0.05	-3.444922
0.466364	0.05	-3.445443
0.467197	0.05	-3.440885
0.468030	0.05	-3.442839
0.468864	0.05	-3.439193
0.469697	0.05	-3.446224
0.470530	0.05	-3.448307
0.471364	0.05	-3.451042
0.472197	0.05	-3.448307
0.473030	0.05	-3.447005
0.473864	0.05	-3.444922
0.474697	0.05	-3.446484
0.475530	0.05	-3.447917
0.476364	0.05	-3.450911
0.477197	0.05	-3.450651
0.478030	0.05	-3.448047
0.478864	0.05	-3.452083
0.479697	0.05	-3.449349
0.480530	0.05	-3.419661
0.481364	0.05	-3.391927
0.482197	0.05	-3.391536
0.483030	0.05	-3.424219
0.483864	0.05	-3.451432
0.484697	0.05	-3.452865
0.485530	0.05	-3.453906
0.486364	0.05	-3.449479
0.487197	0.05	-3.452214
0.488030	0.05	-3.451823
0.488864	0.05	-3.453906
0.489697	0.05	-3.450651
0.490530	0.05	-3.448438
0.491364	0.05	-3.444531
0.492197	0.05	-3.447005
0.493030	0.05	-3.452995
0.493864	0.05	-3.459245
0.494697	0.05	-3.464714
0.495530	0.05	-3.461979
0.496364	0.05	-3.457292
0.497197	0.05	-3.457292
0.498030	0.05	-3.452344
0.498864	0.05	-3.453646
0.499697	0.05	-3.449609
0.500530	0.05	-3.446615
0.501364	0.05	-3.448438
0.502197	0.05	-3.446224
0.503030	0.05	-3.452474
0.503864	0.05	-3.455599
0.504697	0.05	-3.456901
0.505530	0.05	-3.459505
0.506364	0.05	-3.453125
0.507197	0.05	-3.451042
0.508030	0.05	-3.448958
0.508864	0.05	-3.450260
0.509697	0.05	-3.451823
0.510530	0.05	-3.452474
0.511364	0.05	-3.454297
0.512197	0.05	-3.457292
0.513030	0.05	-3.456771
0.513864	0.05	-3.456771
0.514697	0.05	-3.457031
0.515530	0.05	-3.455078
0.516364	0.05	-3.455469
0.517197	0.05	-3.454427
0.518030	0.05	-3.453385
0.518864	0.05	-3.454167
0.519697	0.05	-3.440755
0.520530	0.05	-3.440885
0.521364	0.05	-3.440104
0.522197	0.05	-3.449870
0.523030	0.05	-3.454818
0.523864	0.05	-3.455339
0.524697	0.05	-3.459375
0.525530	0.05	-3.456250
0.526364	0.05	-3.454036
0.527197	0.05	-3.455990
0.528030	0.05	-3.456250
0.528864	0.05	-3.457682
0.529697	0.05	-3.460156
0.530530	0.05	-3.462109
0.531364	0.05	-3.463151
0.532197	0.05	-3.457422
0.533030	0.05	-3.457031
0.533864	0.05	-3.460677
0.534697	0.05	-3.460417
0.535530	0.05	-3.460547
0.536364	0.05	-3.453906
0.537197	0.05	-3.451302
0.538030	0.05	-3.436458
0.538864	0.05	-3.409245
0.539697	0.05	-3.407161
0.540530	0.05	-3.422005
0.541364	0.05	-3.449609
0.542197	0.05	-3.455990
0.543030	0.05	-3.456120
0.543864	0.05	-3.458464
0.544697	0.05	-3.457682
0.545530	0.05	-3.453646
0.546364	0.05	-3.446745
0.547197	0.05	-3.444922
0.548030	0.05	-3.443620
0.548864	0.05	-3.451172
0.549697	0.05	-3.451042
0.550530	0.05	-3.456120
0.551364	0.05	-3.454297
0.552197	0.05	-3.452865
0.553030	0.05	-3.450521
0.553864	0.05	-3.451172
0.554697	0.05	-3.454557
0.555530	0.05	-3.454167
0.556364	0.05	-3.452474
0.557197	0.05	-3.450521
0.558030	0.05	-3.453646
0.558864	0.05	-3.456901
0.559697	0.05	-3.461458
0.560530	0.05	-3.460547
0.561364	0.05	-3.460286
0.562197	0.05	-3.458203
0.563030	0.05	-3.460156
0.563864	0.05	-3.463151
0.564697	0.05	-3.465885
0.565530	0.05	-3.467188
0.566364	0.05	-3.461198
0.567197	0.05	-3.455599
0.568030	0.05	-3.453255
0.568864	0.05	-3.458203
0.569697	0.05	-3.463932
0.570530	0.05	-3.462109
0.571364	0.05	-3.460547
0.572197	0.05	-3.454297
0.573030	0.05	-3.454167
0.573864	0.05	-3.451953
0.574697	0.05	-3.453646
0.575530	0.05	-3.456120
0.576364	0.05	-3.456901
0.577197	0.05	-3.458073
0.578030	0.05	-3.459635
